connector,pin,domain,net,path_nets,zynq_pad,net_inspector_total_mm,carrier_reference_total_mm,track_length_mm,via_count,via_length_mm,die_length_mm,pad_count,connected_pads,notes
J402,3,PS,OTG_DATA3,OTG_DATA3,F12,24.0515,24.0515,22.5131,2,1.5384,0.0000,2,U201.F12;J402.3,
J402,4,Config/JTAG,TDI,TDI,G6,33.5430,33.5430,32.0046,2,1.5384,0.0000,2,U201.G6;J402.4,
J402,5,PS,OTG_DATA5,OTG_DATA5,A10,23.3860,23.3860,21.8476,2,1.5384,0.0000,2,U201.A10;J402.5,
J402,6,Config/JTAG,TDO,TDO,F6,33.4415,33.4415,31.9031,2,1.5384,0.0000,2,U201.F6;J402.6,
J402,7,PS,OTG_CLK,OTG_CLK,A11,22.8722,22.8722,21.3338,2,1.5384,0.0000,2,U201.A11;J402.7,
J402,8,Config/JTAG,TMS,TMS,J6,36.2012,36.2012,34.6628,2,1.5384,0.0000,2,U201.J6;J402.8,
J402,9,PS,OTG_DATA6,OTG_DATA6,E13,24.5908,24.5908,23.0524,2,1.5384,0.0000,2,U201.E13;J402.9,
J402,10,Config/JTAG,TCK,TCK,F9,34.4557,34.4557,32.9173,2,1.5384,0.0000,2,U201.F9;J402.10,
J402,13,PS,OTG_DIR,OTG_DIR,C13,23.1948,23.1948,21.6564,2,1.5384,0.0000,2,U201.C13;J402.13,
J402,14,PS,PS_MIO47,PS_MIO47,B14,26.6540,26.6540,25.1156,2,1.5384,0.0000,2,U201.B14;J402.14,
J402,15,PS,OTG_DATA1,OTG_DATA1,D15,22.7392,22.7392,21.2008,2,1.5384,0.0000,2,U201.D15;J402.15,
J402,16,PS,PS_MIO49,PS_MIO49,C12,29.4419,29.4419,27.9035,2,1.5384,0.0000,2,U201.C12;J402.16,
J402,17,PS,OTG_STP,OTG_STP,C15,23.6819,23.6819,22.1435,2,1.5384,0.0000,2,U201.C15;J402.17,
J402,18,PS,PS_MIO27,PS_MIO27,D13,31.3419,31.3419,29.8035,2,1.5384,0.0000,2,U201.D13;J402.18,
J402,19,PS,OTG_DATA0,OTG_DATA0,A14,23.3684,23.3684,21.8300,2,1.5384,0.0000,2,U201.A14;J402.19,
J402,20,PS,PS_MIO23,PS_MIO23,D11,33.8526,33.8526,32.3142,2,1.5384,0.0000,2,U201.D11;J402.20,
J402,23,PS,OTG_DATA7,OTG_DATA7,C18,25.9201,25.9201,24.3817,2,1.5384,0.0000,2,U201.C18;J402.23,
J402,24,PS,PS_MIO21,PS_MIO21,F14,31.1343,31.1343,29.5959,2,1.5384,0.0000,2,U201.F14;J402.24,
J402,25,PS,OTG_DATA2,OTG_DATA2,A12,23.0665,23.0665,21.5281,2,1.5384,0.0000,2,U201.A12;J402.25,
J402,26,PS,PS_MIO17,PS_MIO17,E14,32.4486,32.4486,30.9102,2,1.5384,0.0000,2,U201.E14;J402.26,
J402,27,PS,OTG_NXT,OTG_NXT,E16,25.7201,25.7201,24.1817,2,1.5384,0.0000,2,U201.E16;J402.27,
J402,28,PS,PS_MIO25,PS_MIO25,F15,32.6699,32.6699,31.1315,2,1.5384,0.0000,2,U201.F15;J402.28,
J402,29,PS,OTG_DATA4,OTG_DATA4,C16,25.5061,25.5061,23.9677,2,1.5384,0.0000,2,U201.C16;J402.29,
J402,30,PS,PS_MIO19,PS_MIO19,D10,40.6493,40.6493,39.1109,2,1.5384,0.0000,2,U201.D10;J402.30,
J402,33,PS,OTG_nRST,OTG_nRST,D16,23.9272,23.9272,22.3888,2,1.5384,0.0000,2,U201.D16;J402.33,
J402,34,PS,PS_POR_B,PS_POR_B,C7,45.2190,45.2190,43.6806,2,1.5384,0.0000,2,U201.C7;J402.34,
J402,35,PS,PS_MIO53,PS_MIO53,C11,21.2515,21.2515,19.7131,2,1.5384,0.0000,2,U201.C11;J402.35,
J402,36,Config/JTAG,DONE,DONE,R11,39.0910,39.0910,36.7214,2,2.3696,0.0000,3,U201.R11;R201.2;J402.36,branched net; total includes every routed branch
J402,37,PS,PS_MIO48,PS_MIO48,B12,16.6845,16.6845,15.1461,2,1.5384,0.0000,2,U201.B12;J402.37,
J402,38,PS,SD_DATA1,SD_DATA1,A9,16.4654,16.4654,14.9270,1,1.5384,0.0000,2,U201.A9;J402.38,
J402,39,PS,PS_MIO52,PS_MIO52,C10,16.1988,16.1988,14.6603,2,1.5384,0.0000,2,U201.C10;J402.39,
J402,40,PS,SD_DATA3,SD_DATA3,B15,20.9649,20.9649,19.4265,1,1.5384,0.0000,2,U201.B15;J402.40,
J402,43,PS,PS_MIO18,PS_MIO18,B18,27.6247,27.6247,26.0863,1,1.5384,0.0000,2,U201.B18;J402.43,
J402,44,PS,SD_CMD,SD_CMD,C17,24.5302,24.5302,22.9918,1,1.5384,0.0000,2,U201.C17;J402.44,
J402,45,PS,PS_MIO16,PS_MIO16,A19,23.8285,23.8285,22.2901,1,1.5384,0.0000,2,U201.A19;J402.45,
J402,46,PS,SD_DATA2,SD_DATA2,F13,35.7699,35.7699,34.2315,1,1.5384,0.0000,2,U201.F13;J402.46,
J402,47,PS,UART_RX,UART_RX,C5,8.0976,8.0976,6.5592,1,1.5384,0.0000,2,U201.C5;J402.47,
J402,48,PS,SD_DATA0,SD_DATA0,E12,33.8456,33.8456,32.3072,1,1.5384,0.0000,2,U201.E12;J402.48,
J402,49,PS,UART_TX,UART_TX,C8,10.0683,10.0683,8.5299,1,1.5384,0.0000,2,U201.C8;J402.49,
J402,50,PS,SD_CLK,SD_CLK;Net-(U201F-PS_MIO40_501),D14,24.9918,28.3101,26.7717,1,1.5384,0.0000,4,R703.1;J402.50;U201.D14;R703.2,sum of both nets across R703; resistor body excluded
J402,53,PS,QSPI_D3_PS_MIO5,QSPI_D3_PS_MIO5,A6,17.5968,17.5968,14.5200,2,3.0768,0.0000,3,U202.7;U201.A6;J402.53,branched net; total includes every routed branch
J402,54,PL B35,PL_B35_IO14_P,PL_B35_IO14_P,J18,36.5494,36.5494,35.0110,2,1.5384,0.0000,2,U201.J18;J402.54,
J402,55,PS,QSPI_D2_PS_MIO4,QSPI_D2_PS_MIO4,B7,9.5668,9.5668,8.0284,1,1.5384,0.0000,3,U202.3;U201.B7;J402.55,branched net; total includes every routed branch
J402,56,PL B35,PL_B35_IO14_N,PL_B35_IO14_N,H18,36.2826,36.2826,34.7442,2,1.5384,0.0000,2,U201.H18;J402.56,
J402,57,PS,I2C0_SDA,I2C0_SDA,B9,7.5875,7.5875,6.0491,1,1.5384,0.0000,2,U201.B9;J402.57,
J402,58,PL B35,PL_B35_IO11_P,PL_B35_IO11_P,L16,35.9842,35.9842,34.4458,2,1.5384,0.0000,2,U201.L16;J402.58,
J402,59,PS,I2C0_SCL,I2C0_SCL,B13,10.2096,10.2096,8.6712,1,1.5384,0.0000,2,U201.B13;J402.59,
