"Refs","Value","Footprint","Qty","DNP"
"C201,C202,C508,C526,C530,C532,C539,C551,C554-C556,C558-C560,C563-C566,C568-C573","470n","Capacitor_SMD:C_0402_1005Metric","24",""
"C203,C301-C314,C503,C504,C514,C517,C528,C536,C538,C542,C547,C552,C574,C575,C702-C704","100n","Capacitor_SMD:C_0402_1005Metric","30",""
"C501,C502,C509,C512,C519,C521,C523,C561,C701","10u","Capacitor_SMD:C_0805_2012Metric","9",""
"C505,C506,C516","3n3","Capacitor_SMD:C_0402_1005Metric","3",""
"C507,C540","10u","Capacitor_SMD:C_0603_1608Metric","2",""
"C510,C511,C534","22u","Capacitor_SMD:C_0805_2012Metric","3",""
"C522,C524,C525,C527,C533,C546,C548-C550,C553,C562,C567","4u7","Capacitor_SMD:C_0603_1608Metric","12",""
"C543-C545","100u","Capacitor_SMD:C_1206_3216Metric","3",""
"D201","LED","LED_SMD:LED_0603_1608Metric","1",""
"FB201,FB501","120OHM@100M","Inductor_SMD:L_0402_1005Metric","2",""
"J402,J403","AXK580137YG","Project:AXK580137YG","2",""
"L501-L503","CMLB041B-2R2MS","Project:IND_CMLB041B-1R0MS","3",""
"R201","330R","Resistor_SMD:R_0402_1005Metric","1",""
"R202,R203,R206,R302","4k7","Resistor_SMD:R_0402_1005Metric","4",""
"R205","1k","Resistor_SMD:R_0402_1005Metric","1",""
"R207-R211","20k","Resistor_SMD:R_0402_1005Metric","5",""
"R301","240R","Resistor_SMD:R_0402_1005Metric","1",""
"R303-R309,R704,R705","80R6","Resistor_SMD:R_0402_1005Metric","9",""
"R501,R502,R507","100k","Resistor_SMD:R_0402_1005Metric","3",""
"R503","49.9k","Resistor_SMD:R_0402_1005Metric","1",""
"R504","200k","Resistor_SMD:R_0402_1005Metric","1",""
"R505","13k","Resistor_SMD:R_0402_1005Metric","1",""
"R506,R509","15k","Resistor_SMD:R_0402_1005Metric","2",""
"R508","18k7","Resistor_SMD:R_0402_1005Metric","1",""
"R701-R703","33R","Resistor_SMD:R_0402_1005Metric","3",""
"R706","10k","Resistor_SMD:R_0402_1005Metric","1",""
"TP405,TP406,TP501-TP505","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","7",""
"U201","xc7z010clg400","Package_BGA:Xilinx_CLG400","1",""
"U202","W25Q256FVEI","Project:SON127P800X600X80-9N-D","1",""
"U301","MT41K256M16TW-107_P","Project:BGA96C80P9X16_1400X800X120","1",""
"U501,U502,U504","TPS62130ARGTR","Project:QFN50P300X300X100-17N-D","3",""
"U503","SPX3819M5-L-3-3","Project:SPX3819M5-L-3-3","1",""
"U701","33.3333MHz","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm","1",""
